,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
588,JBT,1,0,1,1.0,,1.0,0.032822987478300966,,0.032822987478300966,0.0,,0.0,3
589,ITGR,10,8,2,0.5,0.375,1.0,0.0027299265110587168,-0.005637922044155065,0.03620132073191385,0.0,0.0,0.0,12
590,ADNT,12,9,3,0.4166666666666667,0.5555555555555556,0.0,-0.017009144085256212,-0.00497612833921922,-0.053108191323367186,0.0,0.0,0.0,14
591,AVAV,27,10,17,0.6296296296296297,0.7,0.5882352941176471,0.007373241943998708,0.015761788800649778,0.0024388026165569005,0.0,0.0,0.0,61
592,MDGL,47,19,28,0.574468085106383,0.5789473684210527,0.5714285714285714,0.01940442866755134,0.016566579504536397,0.021330112028168615,0.0,0.0,0.0,77
593,SMPL,12,4,8,0.5833333333333334,0.5,0.625,0.00785474735631595,-0.006610230080718931,0.01508723607483339,0.0,0.0,0.0,22
594,SHOO,3,3,0,0.3333333333333333,0.3333333333333333,,-0.04043541557017032,-0.04043541557017032,,0.0,0.0,,3
595,PGNY,27,16,11,0.5555555555555556,0.4375,0.7272727272727273,-0.005101242883861896,-0.01614279542750592,0.010959197179620324,0.0,0.0,0.0,36
596,FORM,22,12,10,0.2727272727272727,0.3333333333333333,0.2,-0.022636511695107952,-0.019197294060113806,-0.026763572857100938,0.0,0.0,0.0,22
597,CVCO,3,2,1,0.6666666666666666,1.0,0.0,0.042624030936726454,0.06698857073439145,-0.006105048658603531,0.0,0.0,0.0,3
598,SBRA,1,0,1,0.0,,0.0,-0.010265839242601854,,-0.010265839242601854,0.0,,0.0,3
599,TDW,34,12,22,0.35294117647058826,0.3333333333333333,0.36363636363636365,-0.021335213583939742,-0.013871264781838958,-0.02540645838508562,0.0,0.0,0.0,46
600,SWTX,38,17,21,0.5263157894736842,0.47058823529411764,0.5714285714285714,0.009297241035666657,0.010948610499887018,0.007960418136059697,0.0,0.0,0.0,66
601,CRS,5,3,2,0.6,0.3333333333333333,1.0,0.012004292646768683,-0.016618268967201897,0.05493813506772455,0.0,0.0,0.0,26
602,KFY,8,3,5,0.5,0.0,0.8,-0.0014998781143070708,-0.025489805238085014,0.012894078159959693,0.0,0.0,0.0,8
603,NARI,39,20,19,0.4358974358974359,0.3,0.5789473684210527,-0.006537282393627077,-0.02228844188152762,0.010042885488373501,0.0,0.0,0.0,67
604,PNM,3,3,0,0.3333333333333333,0.3333333333333333,,-0.004808233478806183,-0.004808233478806183,,0.0,0.0,,6
